category,subcategory,text,duration,generation_time,filepath,rms_energy,peak_amplitude,text_length,efficiency
emotional,happy,"[laughs] Oh my goodness, this is absolutely wonderful! I'm so excited!",7.533333333333333,175.79633331298828,outputs/contribution\emotion_happy.wav,0.03928099572658539,0.4235057830810547,,0.04285261922909942
emotional,sad,[sighs] I feel really down today. Everything seems so difficult.,12.68,298.72433519363403,outputs/contribution\emotion_sad.wav,0.3040354549884796,1.3586015701293945,,0.04244716116542961
emotional,angry,[shouting] This is completely unacceptable! I cannot believe this!,14.906666666666666,366.6228222846985,outputs/contribution\emotion_angry.wav,0.031834740191698074,0.1086454838514328,,0.04065940732705122
emotional,surprised,[gasps] What?! No way! That's absolutely incredible!,13.906666666666666,351.5893759727478,outputs/contribution\emotion_surprised.wav,0.030260156840085983,0.4232845902442932,,0.03955371696937905
emotional,calm,Let's take a moment to breathe deeply and find our center.,11.76,302.46208357810974,outputs/contribution\emotion_calm.wav,0.07738880813121796,0.9331315159797668,,0.03888090652844763
style,professional,"Good morning, everyone. Today's agenda includes reviewing our quarterly results.",5.92,150.0099482536316,outputs/contribution\style_professional.wav,0.050785310566425323,0.5615615248680115,,0.03946404934418529
style,casual,"Hey, what's up? So, like, I was thinking we could grab some coffee later.",6.026666666666666,153.27121233940125,outputs/contribution\style_casual.wav,0.04738493636250496,0.5444093942642212,,0.03932027792225793
domain,medical,The patient presents with acute myocardial infarction. Immediate administration of aspirin is recommended.,7.653333333333333,195.6630895137787,outputs/contribution\domain_medical.wav,0.04718230292201042,0.4119761288166046,,0.039114854786111215
domain,technical,"To configure the API endpoint, update the base URL parameter with your authentication token.",5.6,140.93877291679382,outputs/contribution\domain_technical.wav,0.10318075865507126,0.8194351196289062,,0.039733565747064346
length,short,How are you doing today?,3.5866666666666664,90.80236148834229,outputs/contribution\length_short.wav,0.1026114970445633,0.7110437154769897,24.0,0.03949970692256878
length,long,"The field of natural language processing has evolved dramatically. From simple systems to sophisticated neural networks, we've witnessed unprecedented advances in machine understanding of human language.",13.76,365.69518065452576,outputs/contribution\length_long.wav,0.12159330397844315,1.1482274532318115,203.0,0.03762696564765273
